fecha,isla,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
2021-01-07,EL HIERRO,22.4,8.1,18.4,26.3,27.0,7.2,22.2,7.2,1003.5,999.9,58.0,84.0,37.0
2021-01-07,TENERIFE,21.8,5.6,18.1,25.4,31.666666666666668,4.166666666666667,13.6,5.8,1002.3,998.4,71.0,86.0,56.0
2021-01-07,LA GOMERA,19.4,0.8,17.8,21.0,24.0,9.7,19.2,3.9,982.2,978.8,90.0,96.0,80.0
2021-01-07,GRAN CANARIA,21.6,21.4,18.7,24.5,21.0,7.5,21.7,6.6,1001.9,997.7,75.0,96.0,52.0
2021-01-08,EL HIERRO,17.2,7.8,14.7,19.7,31.0,9.4,18.6,3.3,1014.6,1002.0,67.0,84.0,56.0
2021-01-08,LANZAROTE,16.9,4.8,13.5,20.3,99.0,7.2,16.9,7.4,1013.0,1000.2,78.0,95.0,66.0
2021-01-08,LA PALMA,16.7,0.3,13.2,20.2,36.0,7.5,20.6,5.1,1012.7,998.4,66.0,84.0,53.0
2021-01-08,TENERIFE,17.6,43.9,14.4,20.8,33.0,5.0,15.0,1.3,1012.7,998.0,72.0,84.0,60.0
2021-01-08,GRAN CANARIA,17.7,3.9,14.3,21.1,23.0,5.8,16.9,4.2,1011.1,997.5,68.0,90.0,52.0
2021-01-08,LA GOMERA,16.5,0.4,13.7,19.3,28.0,3.3,14.4,7.0,991.8,979.3,63.0,84.0,53.0
2021-01-08,FUERTEVENTURA,18.6,1.5,16.0,21.2,99.0,7.8,20.0,5.2,1012.2,999.3,72.0,84.0,58.0
2021-01-09,GRAN CANARIA,16.0,0.4,13.5,18.5,8.0,6.7,18.9,8.4,1017.5,1010.7,58.0,78.0,43.0
2021-01-09,EL HIERRO,16.6,0.1,15.0,18.3,99.0,10.3,16.9,2.9,1020.6,1014.3,60.0,72.0,50.0
2021-01-09,LANZAROTE,14.2,4.3,11.1,17.4,34.0,4.2,16.9,6.4,1018.9,1012.8,72.0,100.0,57.0
2021-01-09,LA GOMERA,14.7,2.0,12.3,17.1,6.0,5.0,15.6,8.4,997.8,991.1,58.0,75.0,50.0
2021-01-09,LA PALMA,15.1,1.3,12.4,17.8,2.0,7.5,20.6,7.0,1018.8,1012.6,63.0,81.0,44.0
2021-01-09,TENERIFE,15.8,8.9,13.2,18.3,34.0,6.1,15.8,6.1,1018.9,1012.4,58.0,82.0,50.0
2021-01-09,FUERTEVENTURA,15.6,1.0,12.4,18.9,35.0,6.9,14.4,6.1,1018.1,1011.9,71.0,86.0,46.0
2021-01-10,EL HIERRO,17.8,0.4,16.2,19.4,34.0,8.1,17.5,4.5,1022.2,1018.7,66.0,82.0,51.0
2021-01-10,LA PALMA,16.4,0.5,13.5,19.3,99.0,9.7,18.9,7.5,1020.1,1016.7,63.0,77.0,48.0
2021-01-10,FUERTEVENTURA,16.8,1.5,13.7,19.9,33.0,6.7,15.0,6.1,1019.3,1016.3,64.0,90.0,49.0
2021-01-10,TENERIFE,17.4,4.7,14.5,20.4,32.0,4.2,13.9,7.4,1020.7,1017.6,63.0,77.0,44.0
2021-01-10,LA GOMERA,16.0,0.5,13.1,19.0,3.0,3.1,12.8,8.7,998.8,995.9,60.0,77.0,48.0
2021-01-10,GRAN CANARIA,16.9,1.3,13.6,20.2,9.0,7.2,16.1,8.6,1018.6,1015.6,64.0,89.0,40.0
2021-01-10,LANZAROTE,15.5,1.6,12.5,18.5,32.0,7.5,18.1,8.1,1020.4,1017.0,82.0,97.0,58.0
2021-01-11,LA GOMERA,16.2,0.1,13.6,18.7,2.0,3.3,12.8,8.8,999.0,996.1,54.0,74.0,41.0
