isla,fecha,numero_casos,ia_7dias,ia_14dias,pcr_total,pcr_positivos,pcr_porcentaje_positivos,pcr_porcentaje_positivos_7dias,Urg_ingr,Urg_cv,HPT_cv19,HPT_nocv19,CCR_cv19,CCR_nocv19,CSR_cv19,CSR_nocv19,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
TENERIFE,2021-02-06,37,29.291280244323737,71.07443000460907,1300,51,3.923076923076923,3.718182607940231,90,8,85,1574,16,56,0,12,16.6,1.5,13.4,19.8,29.0,3.9,12.5,3.4,1017.6,1012.5,65.0,75.0,53.0
GRAN CANARIA,2021-02-06,113,97.01690548800087,217.7620420772839,2145,128,5.967365967365968,6.388922628446496,92,8,104,1550,42,61,0,1,15.8,0.8,11.6,20.0,9.0,6.1,16.4,7.5,1016.3,1010.8,62.0,84.0,45.0
LANZAROTE,2021-02-06,47,215.00269555618308,574.4101866351757,423,56,13.238770685579196,9.295774647887324,18,7,34,90,24,4,0,0,14.6,1.2,10.5,18.6,35.0,7.8,15.3,7.5,1018.4,1012.0,77.0,98.0,54.0
FUERTEVENTURA,2021-02-06,3,36.74873885009856,89.36625129455784,220,4,1.818181818181818,3.368304803975704,11,0,3,82,2,2,0,0,16.0,0.6,11.4,20.5,34.0,6.1,15.0,8.0,1017.7,1011.2,66.0,84.0,44.0
LANZAROTE,2021-02-07,55,202.16671373193336,554.5144148075887,362,63,17.403314917127073,9.416800428036384,15,2,0,95,0,5,0,0,16.4,0.0,12.4,20.4,99.0,4.4,10.3,5.8,1020.8,1017.6,70.0,90.0,54.0
LA PALMA,2021-02-07,1,23.964149632150303,27.558772076972847,45,2,4.444444444444445,2.247191011235955,13,0,0,139,0,5,0,0,16.6,0.0,13.6,19.7,3.0,5.0,10.8,4.4,1019.0,1016.5,67.0,76.0,59.0
LA GOMERA,2021-02-07,0,0.0,0.0,11,0,0.0,0.25,6,0,0,25,0,0,0,0,16.8,0.0,13.4,20.1,3.0,2.5,9.7,8.9,997.7,994.6,63.0,77.0,54.0
FUERTEVENTURA,2021-02-07,4,32.57274579895099,83.51986102295126,276,4,1.449275362318841,3.459320948110186,5,1,5,80,1,2,0,0,17.2,0.0,13.8,20.7,35.0,5.3,11.4,4.3,1019.6,1016.6,63.0,83.0,46.0
EL HIERRO,2021-02-07,0,663.8557459406118,816.3631470350767,4,0,0.0,17.555555555555557,2,0,2,14,0,0,0,0,18.4,0.0,16.9,19.9,3.0,5.6,13.3,8.4,1020.6,1017.7,67.0,74.0,60.0
GRAN CANARIA,2021-02-07,64,93.39338251194302,214.7229582909128,1459,77,5.277587388622344,6.185816116950586,124,7,109,1564,42,59,0,10,17.6,0.0,14.4,20.7,99.0,7.2,13.3,7.4,1018.5,1015.5,63.0,83.0,53.0
TENERIFE,2021-02-07,41,30.152788486803846,68.1668396862387,937,43,4.589114194236927,3.798145506419401,115,3,77,1656,15,49,0,8,18.4,0.0,14.9,22.0,27.0,2.2,8.3,8.8,1019.4,1016.7,63.0,74.0,50.0
TENERIFE,2021-02-08,43,32.41424762331414,69.99754470150893,1784,71,3.97982062780269,3.771246458923513,256,15,86,1733,14,71,0,13,18.0,0.0,14.6,21.5,28.0,2.2,7.8,9.6,1019.2,1015.8,68.0,79.0,59.0
GRAN CANARIA,2021-02-08,93,89.30230818413575,207.47591233879703,2983,125,4.190412336573919,6.073699154373187,201,12,113,1610,40,60,0,18,18.2,0.0,15.1,21.3,3.0,6.4,12.8,7.0,1018.2,1014.4,67.0,77.0,57.0
LA GOMERA,2021-02-08,0,0.0,0.0,83,0,0.0,0.247524752475248,2,0,0,26,0,0,0,0,17.0,0.0,14.8,19.2,19.0,2.5,6.1,4.3,997.4,994.3,73.0,79.0,66.0
FUERTEVENTURA,2021-02-08,2,33.4079444091805,86.0254568536398,126,2,1.587301587301587,3.094555873925502,11,1,3,78,1,3,0,0,18.6,0.0,15.9,21.4,28.0,4.2,9.7,4.9,1019.5,1015.9,64.0,79.0,56.0
EL HIERRO,2021-02-08,0,663.8557459406118,816.3631470350767,28,1,3.571428571428572,17.67337807606264,1,0,2,10,0,0,0,0,18.2,0.0,16.6,19.8,99.0,5.6,9.7,7.7,1020.3,1017.1,78.0,86.0,62.0
LA PALMA,2021-02-08,3,25.162357113757817,28.756979558580365,195,4,2.051282051282051,2.334267040149393,15,0,0,136,0,7,0,0,17.4,0.0,14.7,20.2,3.0,4.4,9.7,4.9,1018.8,1015.4,76.0,86.0,59.0
LANZAROTE,2021-02-08,23,215.6444946473956,542.9620311657638,580,34,5.862068965517241,10.401106500691563,25,6,33,96,24,5,0,1,18.0,0.0,14.5,21.4,32.0,3.9,9.2,4.4,1020.6,1017.1,70.0,85.0,54.0
FUERTEVENTURA,2021-02-09,12,30.06714996826245,80.1790665820332,268,16,5.970149253731344,2.870533099004101,13,1,3,73,1,2,0,0,18.8,0.0,14.9,22.7,99.0,3.9,7.8,7.5,1018.8,1015.7,70.0,84.0,51.0
TENERIFE,2021-02-09,57,31.98349350207408,67.30533144375859,2235,81,3.624161073825504,3.652359370834444,243,6,72,1670,15,71,0,14,19.0,0.0,15.6,22.3,27.0,2.8,8.1,8.4,1018.3,1015.7,61.0,78.0,53.0
GRAN CANARIA,2021-02-09,75,82.87347709758147,206.6576974732356,2306,115,4.986990459670425,5.60302734375,218,10,109,1608,41,65,0,22,17.6,0.0,13.6,21.7,99.0,4.4,8.3,8.9,1017.4,1014.5,63.0,79.0,50.0
LANZAROTE,2021-02-09,47,207.94290555284573,527.5588529766642,488,58,11.885245901639344,10.603029436981997,28,6,35,100,22,4,0,0,18.8,0.0,13.6,23.9,32.0,3.3,9.2,8.2,1019.8,1017.0,69.0,92.0,51.0
LA PALMA,2021-02-09,1,26.36056459536533,32.35160200340291,165,2,1.212121212121212,2.355072463768116,17,0,0,134,0,5,0,0,18.4,0.0,15.4,21.4,25.0,2.5,7.2,7.9,1017.4,1015.0,63.0,74.0,55.0
LA GOMERA,2021-02-09,0,0.0,0.0,56,0,0.0,0.210084033613445,3,0,0,26,0,0,0,0,17.4,0.0,13.7,21.2,23.0,1.9,6.7,10.0,996.7,993.8,67.0,81.0,56.0
EL HIERRO,2021-02-09,1,610.0296043778595,807.3921234412846,62,2,3.225806451612903,15.824175824175825,1,0,1,10,0,0,0,0,18.8,0.0,15.7,21.8,31.0,3.6,10.3,9.4,1019.4,1016.6,60.0,74.0,51.0
FUERTEVENTURA,2021-02-10,7,30.902348578491967,81.01426519226273,610,14,2.295081967213115,2.937576499388005,16,1,2,70,1,1,0,0,18.6,0.0,15.3,22.0,35.0,3.6,8.3,3.7,1019.0,1015.8,73.0,88.0,58.0
LA PALMA,2021-02-10,2,27.558772076972847,33.54980948501042,125,3,2.4,2.484472049689441,17,0,0,130,0,6,0,0,17.8,0.0,15.4,20.3,4.0,1.7,5.8,2.4,1017.4,1015.0,71.0,90.0,66.0
GRAN CANARIA,2021-02-10,92,78.43173925596216,197.4235582761849,2099,131,6.241067174845164,5.466396113878128,241,12,109,1611,38,69,0,23,17.7,0.0,14.2,21.2,6.0,4.4,7.2,9.100000000000001,1017.3,1014.9,71.0,82.0,60.0
LANZAROTE,2021-02-10,41,204.0921110055708,499.9614920545272,462,54,11.688311688311687,11.151079136690647,22,2,30,108,20,3,0,0,17.5,0.0,13.9,21.1,31.0,3.1,7.2,5.3,1020.2,1017.5,78.0,94.0,69.0
TENERIFE,2021-02-10,58,36.075657653854606,65.58231495879836,2053,74,3.604481246955674,3.742880390561432,240,8,64,1747,17,71,0,11,18.7,0.0,14.8,22.6,17.0,2.2,5.3,8.2,1018.3,1015.9,69.0,78.0,59.0
LA GOMERA,2021-02-10,0,0.0,0.0,74,0,0.0,0.200803212851406,2,0,0,27,0,0,0,0,17.7,0.0,14.7,20.7,22.0,2.8,6.1,5.6,996.7,994.0,75.0,84.0,65.0
EL HIERRO,2021-02-10,39,556.2034628151072,807.3921234412846,92,39,42.391304347826086,15.242494226327944,1,0,1,10,0,0,0,0,18.5,0.0,15.4,21.6,99.0,2.5,6.7,7.5,1019.2,1016.7,69.0,85.0,57.0
FUERTEVENTURA,2021-02-11,12,33.4079444091805,76.83827214111516,278,18,6.474820143884892,2.600588812561335,17,0,2,72,1,1,0,0,19.6,0.0,16.7,22.6,99.0,4.7,10.3,5.1,1019.6,1017.1,64.0,80.0,52.0
LANZAROTE,2021-02-11,50,196.39052191102095,447.9757656663158,506,60,11.857707509881424,10.95066185318893,24,4,33,110,18,3,0,0,17.6,0.0,13.9,21.2,35.0,3.6,10.3,3.7,1020.9,1018.3,75.0,95.0,57.0
LA PALMA,2021-02-11,2,17.97311222411273,34.74801696661794,225,3,1.333333333333333,1.883239171374765,30,0,0,142,0,6,0,0,17.8,0.0,15.0,20.5,3.5,3.1,8.3,2.8,1019.0,1015.9,73.0,83.0,63.0
LA GOMERA,2021-02-11,0,0.0,0.0,35,0,0.0,0.0,2,0,0,25,0,0,0,0,18.2,0.0,14.8,21.5,23.0,3.1,7.2,9.9,997.7,994.8,74.0,88.0,54.0
EL HIERRO,2021-02-11,0,457.5222032833946,1103.4359020364222,30,0,0.0,15.85014409221902,1,0,1,8,0,0,0,0,18.9,0.0,16.3,21.5,99.0,4.4,8.9,9.3,1020.3,1017.5,71.0,79.0,58.0
GRAN CANARIA,2021-02-11,126,76.6784216869019,190.1765123240692,2322,148,6.373815676141257,5.544057698338037,240,9,103,1590,41,65,0,23,17.3,0.1,12.7,21.9,3.0,6.1,13.3,9.3,1017.8,1015.4,64.0,81.0,52.0
TENERIFE,2021-02-11,60,36.8294773660247,67.73608556499865,2135,78,3.653395784543326,3.760445682451254,243,7,55,1769,18,61,0,13,19.6,0.0,15.8,23.5,31.0,2.8,7.8,9.4,1019.3,1016.5,58.0,76.0,47.0
LA GOMERA,2021-02-12,2,0.0,0.0,35,3,8.571428571428571,0.0,2,2,2,21,0,0,0,0,19.3,0.0,15.8,22.8,5.0,2.5,9.2,10.2,998.3,996.1,65.0,81.0,46.0
GRAN CANARIA,2021-02-12,95,78.3148514180248,181.99436366845467,2302,120,5.212858384013901,5.561185710666329,204,13,96,1523,44,67,0,7,19.4,0.1,16.6,22.1,1.0,8.6,16.1,9.0,1018.8,1016.7,69.0,92.0,55.0
FUERTEVENTURA,2021-02-12,7,38.41913607055758,71.82708047973809,254,13,5.118110236220472,3.410852713178294,17,0,1,74,1,2,0,0,19.8,0.0,17.6,21.9,99.0,8.1,11.7,8.0,1020.4,1018.0,72.0,82.0,61.0
EL HIERRO,2021-02-12,1,430.6091325020185,1067.551807661254,42,5,11.904761904761903,17.80821917808219,1,0,1,9,0,0,0,0,19.4,0.2,17.5,21.2,3.0,5.6,12.5,6.7,1021.5,1019.1,75.0,87.0,68.0
LA PALMA,2021-02-12,6,16.77490474250521,34.74801696661794,233,6,2.575107296137339,1.833180568285976,18,0,0,135,0,5,0,0,18.6,0.0,16.1,21.1,3.0,4.7,10.8,6.7,1020.1,1017.9,73.0,81.0,61.0
LANZAROTE,2021-02-12,19,204.7339100967833,435.78158293327857,426,26,6.103286384976526,11.235294117647058,15,6,28,87,19,4,0,0,19.2,0.0,15.4,22.9,2.0,5.6,12.8,6.7,1021.6,1019.1,69.0,88.0,54.0
TENERIFE,2021-02-12,45,37.15254295695474,68.48990527716875,1893,52,2.746962493396725,3.752025931928687,180,7,54,1638,19,62,0,11,20.4,0.05,17.5,23.2,1.0,2.5,7.5,7.8,1020.2,1018.3,60.0,73.0,49.0
LA GOMERA,2021-02-13,0,9.225943352707814,9.225943352707814,13,0,0.0,0.943396226415094,0,0,2,20,0,0,0,0,18.6,0.0,15.7,21.5,1.0,3.6,10.8,10.2,997.8,995.1,72.0,83.0,64.0
LA PALMA,2021-02-13,3,21.567734668935277,41.93726185626303,235,7,2.978723404255319,1.969178082191781,3,0,0,128,0,4,0,0,18.5,0.0,15.9,21.1,3.0,5.3,10.3,3.3,1020.0,1017.4,70.0,78.0,55.0
FUERTEVENTURA,2021-02-13,10,39.25433468078709,76.00307353088564,219,12,5.47945205479452,3.494094488188976,10,0,1,75,1,2,0,0,19.4,0.0,17.2,21.5,3.0,7.8,12.5,6.0,1020.2,1017.4,73.0,82.0,65.0
GRAN CANARIA,2021-02-13,53,76.9121973627766,173.92910285077747,1918,72,3.753910323253389,5.404713114754099,105,10,97,1540,48,64,0,2,19.5,0.0,16.9,22.1,99.0,10.0,15.3,8.9,1018.5,1015.9,67.0,80.0,54.0
TENERIFE,2021-02-13,57,36.72178883571468,66.01306908003842,1593,69,4.331450094161959,3.647564237659074,102,3,51,1592,19,55,0,12,19.0,0.0,16.3,21.7,10.0,3.3,9.7,10.0,1020.0,1017.0,62.0,73.0,53.0
EL HIERRO,2021-02-13,0,385.75401453305824,1031.667713286086,10,1,10.0,16.72354948805461,3,0,1,11,0,0,0,0,19.8,0.0,18.3,21.2,2.0,7.2,11.7,7.2,1021.1,1018.3,74.0,81.0,66.0
LANZAROTE,2021-02-13,42,180.9873437219213,395.9900392781044,397,47,11.838790931989925,10.809978441638435,16,6,32,101,19,3,0,0,19.1,0.0,14.7,23.5,99.0,6.7,12.5,9.8,1021.1,1018.7,71.0,89.0,56.0
FUERTEVENTURA,2021-02-14,6,45.10072495239368,77.67347075134467,47,8,17.02127659574468,3.889709502708026,14,0,1,82,1,1,0,0,18.6,0.0,16.8,20.4,99.0,5.6,10.3,6.4,1019.4,1016.8,76.0,91.0,69.0
LANZAROTE,2021-02-14,17,177.77834826585885,379.9450619977922,301,22,7.308970099667774,10.617820552623408,15,0,33,108,18,4,0,1,17.2,0.0,13.0,21.5,99.0,3.3,9.2,8.4,1020.7,1017.7,75.0,93.0,62.0
TENERIFE,2021-02-14,39,38.87555944191496,69.0283479287188,716,78,10.893854748603353,3.705463182897862,123,6,52,1642,21,55,0,11,17.8,0.0,14.5,21.0,10.0,3.1,8.6,10.3,1018.5,1016.3,66.0,80.0,56.0
LA PALMA,2021-02-14,3,21.567734668935277,45.531884301085576,95,5,5.263157894736843,2.207686017988553,8,0,0,127,0,4,0,0,18.0,0.0,14.9,21.1,29.0,4.4,7.2,9.8,1018.2,1016.0,71.0,80.0,62.0
LA GOMERA,2021-02-14,0,9.225943352707814,9.225943352707814,10,0,0.0,0.977198697068404,2,0,2,22,0,0,0,0,18.4,0.0,15.1,21.7,22.0,3.1,8.3,10.4,996.9,993.8,76.0,89.0,67.0
GRAN CANARIA,2021-02-14,66,69.89892708653558,163.2923095984786,1470,80,5.442176870748299,5.120540645915914,90,4,97,1535,48,63,0,6,18.0,0.0,15.3,20.7,3.0,7.8,13.3,10.4,1017.3,1014.7,74.0,86.0,60.0
EL HIERRO,2021-02-14,0,367.8119673454741,1031.667713286086,6,0,0.0,17.91044776119403,0,0,1,9,0,0,0,0,19.2,0.0,17.6,20.8,99.0,6.7,9.7,8.5,1019.4,1016.9,75.0,80.0,68.0
FUERTEVENTURA,2021-02-15,5,46.77112217285271,80.1790665820332,209,6,2.870813397129187,4.605993340732519,14,0,1,75,0,2,0,0,19.2,0.0,15.2,23.3,3.0,3.9,8.3,7.4,1021.2,1017.8,57.0,89.0,34.0
LA PALMA,2021-02-15,2,23.964149632150303,49.12650674590813,249,12,4.819277108433735,2.356637863315004,20,1,1,129,0,3,0,0,20.5,0.0,15.0,26.0,22.0,3.3,9.2,9.7,1018.1,1015.1,62.0,89.0,18.0
LANZAROTE,2021-02-15,9,153.38998279978435,369.03447744718,498,15,3.012048192771085,9.525316455696204,19,8,42,98,19,6,0,0,19.1,0.0,13.4,24.8,8.0,3.3,8.3,8.5,1022.5,1019.0,52.0,96.0,22.0
GRAN CANARIA,2021-02-15,60,70.13270276241028,159.43501094654602,2086,96,4.602109300095878,5.136363636363637,193,6,93,1573,46,67,0,7,20.2,0.0,15.1,25.3,36.0,2.2,9.7,10.1,1019.1,1015.2,46.0,88.0,16.0
LA GOMERA,2021-02-15,0,9.225943352707814,9.225943352707814,19,0,0.0,0.980392156862745,0,0,2,19,0,0,0,0,20.1,0.0,14.4,25.8,7.0,5.3,15.6,9.7,997.3,993.5,40.0,89.0,17.0
TENERIFE,2021-02-15,44,38.66018238129493,71.07443000460907,1699,56,3.29605650382578,4.053509549520509,267,8,55,1729,17,67,1,11,19.5,0.0,14.8,24.2,11.0,1.9,5.3,10.3,1019.6,1016.5,60.0,76.0,35.0
EL HIERRO,2021-02-15,1,367.8119673454741,1031.667713286086,79,1,1.265822784810127,17.77777777777778,1,0,0,11,0,0,0,0,21.4,0.0,16.8,26.0,99.0,5.0,10.3,9.7,1019.5,1016.6,57.0,87.0,18.0
LANZAROTE,2021-02-16,15,144.40479552280954,352.34770107565527,289,25,8.650519031141869,9.161793372319687,20,4,38,110,19,6,0,0,18.2,0.0,14.0,22.4,3.0,3.9,10.3,10.3,1024.2,1018.9,52.0,95.0,25.0
LA PALMA,2021-02-16,0,22.765942150542788,49.12650674590813,262,4,1.526717557251909,2.863602110022607,24,0,1,135,0,3,0,0,20.6,0.0,16.7,24.5,16.0,1.9,13.9,8.0,1018.9,1015.4,43.0,60.0,30.0
GRAN CANARIA,2021-02-16,67,66.27540411047771,149.14888120805918,2158,93,4.309545875810936,5.254085361649314,135,9,92,1578,48,65,0,3,19.6,0.0,17.2,22.0,99.0,3.1,9.2,9.4,1020.4,1015.1,39.0,55.0,20.0
TENERIFE,2021-02-16,71,38.76787091160495,70.75136441367903,1900,92,4.842105263157895,3.959753326841935,222,10,52,1723,19,67,1,10,20.2,0.0,16.9,23.4,10.0,3.6,8.6,9.6,1020.5,1016.8,47.0,62.0,32.0
LA GOMERA,2021-02-16,0,9.225943352707814,9.225943352707814,17,1,5.882352941176471,1.239669421487603,3,0,2,20,0,0,0,0,20.6,0.0,17.5,23.7,8.0,4.7,11.9,6.2,998.7,994.3,46.0,58.0,17.0
EL HIERRO,2021-02-16,0,376.7829909392661,986.8125953171256,9,1,11.11111111111111,14.953271028037385,0,0,0,11,0,0,0,0,20.6,0.0,17.6,23.6,15.0,6.9,11.7,8.5,1020.5,1016.4,53.0,62.0,26.0
FUERTEVENTURA,2021-02-16,8,49.27671800354124,79.34386797180369,431,9,2.088167053364269,4.615384615384615,11,2,3,81,0,2,0,0,19.0,0.0,16.3,21.8,4.0,5.0,11.4,9.6,1022.9,1017.2,53.0,82.0,37.0
TENERIFE,2021-02-17,61,40.27551033594514,76.35116798979975,2019,84,4.160475482912333,4.162148636249896,274,6,50,1802,22,70,1,12,19.2,0.0,16.0,22.5,5.0,3.3,8.9,9.6,1018.0,1014.0,58.0,77.0,39.0
LANZAROTE,2021-02-17,24,123.86722460400996,327.9593356095808,328,29,8.841463414634147,8.648836401528309,23,1,34,117,16,6,0,0,18.0,0.0,14.9,21.0,1.0,5.0,12.5,10.2,1020.4,1016.4,44.0,89.0,24.0
LA PALMA,2021-02-17,2,21.567734668935277,49.12650674590813,181,3,1.657458563535912,2.808988764044944,26,2,2,138,1,4,0,0,19.2,0.0,16.2,22.3,3.0,4.4,7.8,8.9,1016.4,1013.4,57.0,66.0,29.0
FUERTEVENTURA,2021-02-17,12,45.9359235626232,76.83827214111516,429,12,2.797202797202797,3.90625,17,0,2,78,0,1,0,0,18.0,0.0,15.8,20.3,10.0,6.4,12.8,9.0,1018.9,1015.0,44.0,81.0,25.0
EL HIERRO,2021-02-17,0,367.8119673454741,924.0154301605812,66,0,0.0,17.53731343283582,0,0,0,9,0,0,0,0,19.0,0.0,16.3,21.8,99.0,4.7,10.3,8.9,1017.6,1014.9,49.0,74.0,34.0
LA GOMERA,2021-02-17,0,9.225943352707814,9.225943352707814,32,0,0.0,1.970443349753695,0,0,2,17,0,0,0,0,18.5,0.0,16.0,21.0,8.0,3.9,9.7,8.2,995.6,992.2,50.0,64.0,17.0
GRAN CANARIA,2021-02-17,47,65.34030140697891,143.77204066294107,1512,82,5.423280423280423,5.154998258446534,225,3,78,1611,49,62,0,19,18.1,0.0,15.2,21.0,10.0,3.3,9.7,9.6,1016.9,1013.0,50.0,73.0,27.0
EL HIERRO,2021-02-18,0,17.9420471875841,475.4642504709788,45,0,0.0,3.305785123966942,2,0,0,12,0,0,0,0,19.6,0.0,17.9,21.2,34.0,5.0,10.3,9.6,1017.0,1014.9,58.0,73.0,50.0
LA GOMERA,2021-02-18,0,9.225943352707814,9.225943352707814,17,0,0.0,2.484472049689441,3,0,2,18,0,0,0,0,18.6,0.0,14.6,22.6,24.0,2.8,5.6,8.6,994.5,991.9,46.0,65.0,29.0
LANZAROTE,2021-02-18,16,112.95664005339768,309.34716196441866,435,25,5.747126436781609,8.160291438979964,20,1,25,126,15,6,0,1,18.2,0.0,13.0,23.4,7.0,4.2,9.7,9.7,1018.1,1015.6,63.0,93.0,20.0
GRAN CANARIA,2021-02-18,75,60.08034869979814,136.75877038670004,2051,98,4.778156996587031,5.018884369552586,247,7,77,1620,48,60,0,18,18.4,0.0,15.4,21.3,5.0,5.8,10.3,10.2,1014.9,1012.5,62.0,77.0,32.0
TENERIFE,2021-02-18,66,40.59857592687518,77.42805329289988,2157,85,3.940658321743162,4.25763278962777,240,11,51,1764,19,66,2,16,18.2,0.0,14.9,21.4,8.0,3.3,8.9,9.5,1016.1,1013.4,51.0,65.0,38.0
FUERTEVENTURA,2021-02-18,11,50.11191661377075,83.51986102295126,651,12,1.84331797235023,4.177825388323513,21,1,3,77,0,2,0,0,18.6,0.0,16.1,21.0,99.0,5.3,8.3,8.6,1017.0,1014.5,71.0,85.0,59.0
LA PALMA,2021-02-18,4,21.567734668935277,39.540846893048,177,8,4.519774011299435,2.702702702702703,20,0,1,140,2,3,0,0,18.7,0.0,15.9,21.5,34.0,3.3,7.8,9.4,1015.7,1013.5,49.0,67.0,32.0
LA PALMA,2021-02-19,0,23.964149632150303,40.73905437465552,293,3,1.023890784982935,3.142458100558659,21,0,1,138,2,2,0,0,17.2,0.0,13.9,20.6,13.0,3.3,6.7,9.4,1015.6,1012.3,71.0,81.0,58.0
LANZAROTE,2021-02-19,14,91.13547095217314,295.8693810489564,378,25,6.613756613756614,7.068062827225131,10,0,22,99,12,4,0,0,16.2,0.0,10.7,21.6,12.0,2.5,6.1,10.2,1017.9,1015.2,63.0,84.0,30.0
GRAN CANARIA,2021-02-19,40,54.11906896499326,132.43392038301806,1801,59,3.275957801221544,4.749203526709639,225,3,75,1597,48,53,0,8,18.1,0.0,13.7,22.5,5.0,3.1,6.7,10.1,1015.0,1012.3,47.0,73.0,26.0
TENERIFE,2021-02-19,59,41.24470710873526,78.39725006569,1851,78,4.213938411669368,4.308257493529265,208,8,50,1702,15,60,1,9,18.4,0.0,14.7,22.2,27.0,2.2,5.3,10.4,1016.2,1013.3,48.0,65.0,29.0
FUERTEVENTURA,2021-02-19,5,49.27671800354124,87.69585407409882,180,9,5.0,3.214285714285714,16,1,4,72,0,5,0,0,17.0,0.0,13.8,20.3,32.0,3.3,6.1,9.5,1016.8,1013.9,78.0,90.0,47.0
EL HIERRO,2021-02-19,12,17.9420471875841,448.5511796896026,72,13,18.05555555555556,3.11284046692607,4,0,0,16,0,0,0,0,18.4,0.0,14.7,22.0,99.0,2.5,10.3,9.6,1017.5,1014.3,67.0,74.0,27.0
LA GOMERA,2021-02-19,0,9.225943352707814,9.225943352707814,28,0,0.0,2.797202797202797,1,0,2,16,0,0,0,0,18.1,0.0,14.2,22.0,23.0,3.3,10.3,8.6,994.9,991.7,52.0,71.0,22.0
TENERIFE,2021-02-20,61,42.75234653307545,79.47413536879014,1365,66,4.835164835164835,4.541265186426477,109,11,60,1640,19,53,1,10,18.9,7.0,14.9,22.9,32.0,1.9,24.2,5.6,1013.8,1006.2,67.0,83.0,49.0
EL HIERRO,2021-02-20,0,116.62330671929668,502.3773212523549,7,0,0.0,5.574912891986063,2,0,0,14,0,0,0,0,19.4,1.3,15.0,23.7,99.0,5.8,20.0,5.5,1014.9,1008.6,66.0,83.0,52.0
LANZAROTE,2021-02-20,18,87.9264754961107,268.913819218032,259,23,8.88030888030888,7.159177456207159,16,3,19,110,12,6,0,1,16.9,0.5,12.0,21.8,99.0,6.7,18.1,6.5,1016.1,1008.8,76.0,95.0,50.0
FUERTEVENTURA,2021-02-20,10,47.60632078308222,86.8606554638693,193,10,5.181347150259067,3.139427516158818,10,0,3,76,1,3,0,0,18.4,0.8,12.3,24.6,99.0,6.9,18.6,5.9,1015.0,1007.0,47.0,89.0,30.0
LA GOMERA,2021-02-20,0,0.0,9.225943352707814,15,0,0.0,0.735294117647059,0,0,2,13,0,0,0,0,17.4,1.7,14.8,19.9,23.0,7.5,18.6,3.0,992.4,987.2,79.0,96.0,29.0
LA PALMA,2021-02-20,0,16.77490474250521,38.34263941144049,159,4,2.515723270440252,2.815013404825737,10,1,2,132,2,1,0,0,19.0,5.0,14.7,23.2,25.0,9.7,27.8,2.8,1012.4,1002.7,63.0,86.0,36.0
GRAN CANARIA,2021-02-20,95,47.690237878438985,124.6024352412156,1796,121,6.737193763919822,4.462911665127732,101,4,72,1590,47,53,0,3,19.4,0.0,13.2,25.6,99.0,6.9,18.9,6.3,1013.5,1004.7,50.0,84.0,16.0
FUERTEVENTURA,2021-02-21,2,47.60632078308222,92.7070457354759,44,3,6.818181818181818,3.08411214953271,12,0,3,82,1,4,0,0,18.4,0.0,14.8,22.0,34.0,4.4,11.7,7.5,1018.3,1010.4,58.0,90.0,39.0
LANZAROTE,2021-02-21,12,72.523297307011,250.30164557286983,241,14,5.809128630705394,6.591639871382637,18,1,19,118,12,4,0,1,17.5,0.0,13.2,21.8,32.0,4.4,13.3,9.1,1019.5,1011.3,56.0,91.0,40.0
LA GOMERA,2021-02-21,0,0.0,9.225943352707814,14,0,0.0,0.72463768115942,2,0,2,15,0,0,0,0,17.8,0.0,15.0,20.7,33.0,2.5,12.8,8.6,996.0,989.0,64.0,77.0,52.0
EL HIERRO,2021-02-21,1,116.62330671929668,484.4352740647708,14,1,7.142857142857143,5.28169014084507,1,0,0,13,0,0,0,0,19.3,0.0,17.6,21.0,32.0,6.9,16.1,8.7,1018.5,1011.9,58.0,76.0,50.0
TENERIFE,2021-02-21,53,43.18310065431551,82.05866009623047,1041,66,6.340057636887608,4.604083027248655,151,7,64,1718,18,56,1,12,20.1,0.0,16.9,23.3,34.0,2.8,14.7,9.2,1017.4,1010.3,56.0,78.0,41.0
LA PALMA,2021-02-21,0,13.180282297682666,34.74801696661794,119,1,0.840336134453782,2.754237288135593,12,0,2,140,2,2,0,0,18.0,0.0,15.0,21.1,4.0,3.1,11.4,7.4,1016.9,1008.9,59.0,73.0,46.0
GRAN CANARIA,2021-02-21,79,52.59952707180771,122.49845415834328,1611,98,6.083178150217257,4.885816374087308,124,11,82,1622,49,59,0,13,19.0,0.0,16.2,21.8,3.0,8.6,15.0,5.3,1016.6,1008.8,56.0,86.0,42.0
EL HIERRO,2021-02-22,2,125.59433031308872,493.4062976585628,21,2,9.523809523809524,5.47945205479452,0,0,0,10,0,0,0,0,18.4,0.0,15.7,21.0,27.0,1.9,7.2,10.1,1020.9,1017.0,66.0,75.0,41.0
LANZAROTE,2021-02-22,7,69.31430185094858,222.70428465073292,482,8,1.659751037344398,6.42504118616145,21,3,17,127,13,6,0,0,16.4,0.0,11.7,21.2,34.0,1.9,6.1,10.2,1022.0,1018.2,71.0,90.0,54.0
TENERIFE,2021-02-22,73,44.6907400786557,83.35092245995064,1713,86,5.020431990659661,4.37998670212766,273,7,65,1806,19,72,1,11,19.0,0.0,15.5,22.4,29.0,1.9,6.1,7.8,1020.3,1016.1,69.0,81.0,54.0
