isla,fecha,numero_casos,ia_7dias,ia_14dias,pcr_total,pcr_positivos,pcr_porcentaje_positivos,pcr_porcentaje_positivos_7dias,Urg_ingr,Urg_cv,HPT_cv19,HPT_nocv19,CCR_cv19,CCR_nocv19,CSR_cv19,CSR_nocv19,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
GRAN CANARIA,2021-01-04,72,59.729685185986085,95.73113927069002,1171,98,8.368915456874467,6.615776081424937,144,6,65,1537,17,81,0,13,17.8,0.0,16.1,19.5,21.0,7.2,16.1,0.3,1011.5,1005.2,72.0,85.0,67.0
LA PALMA,2021-01-04,1,29.95518704018788,62.30678904359079,304,3,0.986842105263158,5.499153976311336,18,0,0,130,0,6,0,0,20.8,0.6,17.7,23.9,14.0,8.1,24.2,2.0,1009.6,1001.5,79.0,88.0,51.0
FUERTEVENTURA,2021-01-04,5,35.91354023986904,54.28790966491832,327,6,1.834862385321101,5.496828752642706,14,1,3,85,0,4,0,0,16.7,0.0,14.3,19.1,17.0,4.4,9.7,0.4,1013.2,1008.2,69.0,76.0,63.0
LA GOMERA,2021-01-04,4,41.51674508718517,110.71132023249378,47,6,12.76595744680851,10.67193675889328,0,0,1,13,0,0,0,0,18.0,0.0,17.0,19.0,24.0,3.3,11.9,0.0,990.1,985.7,85.0,97.0,74.0
TENERIFE,2021-01-05,99,85.5046930661509,177.68607501152266,2117,146,6.896551724137931,9.145465303017495,128,15,152,1351,33,45,0,12,20.9,0.0,18.1,23.7,29.0,2.5,10.8,7.7,1008.0,1004.6,68.0,88.0,59.0
LANZAROTE,2021-01-05,21,83.43388185762329,121.30002823916,533,34,6.378986866791744,6.363300036995931,19,1,2,120,2,7,0,0,20.2,0.1,15.9,24.5,99.0,5.6,11.7,6.9,1009.6,1006.6,75.0,96.0,56.0
LA GOMERA,2021-01-05,0,59.9686317926008,101.48537687978596,64,2,3.125,11.711711711711713,3,0,1,16,0,0,0,0,19.4,8.4,17.6,21.2,25.0,5.3,13.9,7.3,987.0,983.7,81.0,94.0,73.0
GRAN CANARIA,2021-01-05,99,61.71677843092104,100.87420413993344,1709,125,7.314218841427736,7.092506235766185,159,9,69,1504,16,84,0,2,20.2,0.1,15.8,24.5,21.0,3.1,15.0,8.6,1007.0,1003.5,67.0,90.0,54.0
EL HIERRO,2021-01-05,1,197.36251906342517,215.30456625100925,20,5,25.0,8.0,0,0,3,12,0,0,0,0,21.2,1.6,18.1,24.3,99.0,2.8,10.3,7.2,1009.5,1005.6,71.0,83.0,56.0
LA PALMA,2021-01-05,4,26.36056459536533,61.10858156198327,217,11,5.069124423963134,4.88,10,0,0,127,0,2,0,0,20.9,3.0,18.2,23.6,26.0,2.8,11.7,4.1,1006.7,1003.0,70.0,83.0,52.0
FUERTEVENTURA,2021-01-05,26,40.0895332910166,57.62870410583637,326,32,9.8159509202454,4.603580562659847,25,0,2,94,0,2,0,0,20.8,0.0,16.2,25.4,30.0,4.4,12.5,8.8,1008.8,1005.5,66.0,86.0,50.0
LA GOMERA,2021-01-06,0,41.51674508718517,83.03349017437033,6,0,0.0,10.38961038961039,0,0,1,16,0,0,0,0,19.7,0.9,18.4,21.0,24.0,10.0,19.7,2.5,985.0,979.9,87.0,99.0,79.0
FUERTEVENTURA,2021-01-06,16,52.617512444459294,71.82708047973809,151,17,11.258278145695364,5.82891748675246,7,0,2,98,0,3,0,0,21.6,1.2,19.3,23.9,24.0,10.0,17.5,1.1,1006.7,1001.5,77.0,87.0,67.0
LA PALMA,2021-01-06,0,26.36056459536533,49.12650674590813,24,0,0.0,4.195804195804196,10,0,0,131,0,1,0,0,21.4,13.0,18.6,24.3,25.0,9.4,30.0,5.0,1003.2,994.6,59.0,85.0,47.0
TENERIFE,2021-01-06,106,79.1510697778601,172.94777967788207,1402,153,10.912981455064196,8.657706406004538,111,12,157,1398,33,40,0,12,21.2,0.05,18.3,24.1,30.333333333333332,3.3333333333333335,12.200000000000001,6.75,1005.3,1000.1,79.0,82.0,56.0
EL HIERRO,2021-01-06,0,161.47842468825692,215.30456625100925,5,0,0.0,14.285714285714286,1,0,3,13,0,0,0,0,21.7,0.5,18.9,24.5,26.0,4.7,18.6,4.0,1006.2,1001.6,68.0,89.0,53.0
GRAN CANARIA,2021-01-06,79,63.703871675856,105.6666054953648,1164,92,7.903780068728523,7.552140504939627,99,7,72,1527,16,85,0,9,21.8,1.7,19.1,24.4,99.0,9.2,17.5,2.3,1004.4,998.6,76.0,95.0,56.0
LANZAROTE,2021-01-06,48,85.35927913126075,128.35981824249737,434,61,14.055299539170507,6.699101796407185,16,0,1,136,2,5,0,0,19.6,0.9,15.7,23.6,23.0,8.1,16.4,0.9,1007.9,1002.8,85.0,98.0,71.0
LA PALMA,2021-01-07,2,20.36952718732776,47.928299264300605,150,13,8.666666666666666,4.283054003724395,23,0,0,143,0,4,0,0,20.2,18.5,17.3,23.0,25.0,12.2,25.8,3.7,1000.1,993.9,69.0,86.0,51.0
LA GOMERA,2021-01-07,0,27.677830058123444,83.03349017437033,46,1,2.173913043478261,7.97872340425532,2,0,1,17,0,0,0,0,19.4,0.8,17.8,21.0,24.0,9.7,19.2,3.9,982.2,978.8,90.0,96.0,80.0
TENERIFE,2021-01-07,90,75.38197121700962,169.82481229889166,2065,129,6.246973365617434,9.170600134861768,175,13,153,1442,34,41,0,12,21.8,5.6,18.1,25.4,31.666666666666668,4.166666666666667,13.6,5.8,1002.3,998.4,71.0,86.0,56.0
EL HIERRO,2021-01-07,1,161.47842468825692,215.30456625100925,75,2,2.666666666666667,15.428571428571429,0,0,2,12,0,0,0,0,22.4,8.1,18.4,26.3,27.0,7.2,22.2,7.2,1003.5,999.9,58.0,84.0,37.0
LANZAROTE,2021-01-07,61,109.74764459733524,155.3153800734218,408,80,19.607843137254903,8.727695888285492,12,1,3,134,2,6,0,0,19.4,33.3,16.5,22.4,23.0,8.1,18.1,3.8,1005.4,1002.1,91.0,98.0,73.0
