fecha,isla,numero_casos,pcr_total,Urg_cv,HPT_cv19,CCR_cv19,tmin,tmed,presMax
2021-01-12,EL HIERRO,2,61,0,2,0,17.1,18.1,1023.4
2021-01-12,LA PALMA,0,167,0,0,0,13.9,16.0,1022.8
2021-01-12,FUERTEVENTURA,20,373,1,0,1,13.8,16.6,1022.8
2021-01-13,GRAN CANARIA,136,2453,9,93,25,14.8,17.3,1023.4
2021-01-13,FUERTEVENTURA,17,309,1,1,0,15.1,17.6,1025.2
2021-01-13,LA PALMA,1,152,0,0,0,14.8,17.0,1024.6
2021-01-13,LANZAROTE,105,848,5,22,4,11.2,15.8,1026.6
2021-01-13,EL HIERRO,0,57,0,2,0,17.8,18.4,1025.3
2021-01-13,TENERIFE,90,2446,7,118,32,14.2,17.2,1025.1
2021-01-13,LA GOMERA,0,53,0,1,0,14.7,17.4,1002.5
2021-01-14,LANZAROTE,110,779,5,26,5,12.2,16.0,1027.9
2021-01-14,TENERIFE,77,2181,7,108,30,14.6,17.2,1025.8
2021-01-14,LA GOMERA,0,164,0,1,0,15.0,17.6,1003.2
2021-01-14,LA PALMA,0,94,0,0,0,15.0,17.8,1025.3
2021-01-14,GRAN CANARIA,165,2074,6,93,24,14.7,17.4,1024.5
2021-01-14,EL HIERRO,0,63,0,1,0,17.8,19.0,1026.4
2021-01-14,FUERTEVENTURA,22,410,1,1,0,14.2,17.2,1026.5
2021-01-15,EL HIERRO,2,26,0,1,0,16.3,17.7,1025.3
2021-01-15,FUERTEVENTURA,15,665,0,1,0,16.4,18.1,1024.5
2021-01-15,TENERIFE,67,2025,5,97,28,16.4,17.9,1024.9
2021-01-15,LANZAROTE,71,917,4,25,5,15.1,17.6,1025.8
2021-01-15,GRAN CANARIA,114,2245,11,88,26,16.0,18.0,1023.2
2021-01-15,LA GOMERA,0,19,0,0,0,14.2,16.9,1002.2
2021-01-15,LA PALMA,1,160,0,0,0,15.6,17.0,1024.5
2021-01-16,EL HIERRO,4,49,1,2,0,17.6,19.2,1023.3
2021-01-16,LA GOMERA,0,25,0,0,0,13.6,16.8,1000.5
2021-01-16,GRAN CANARIA,152,2162,15,95,29,15.5,18.0,1021.6
2021-01-16,LANZAROTE,53,616,5,28,5,13.8,17.2,1024.0
2021-01-16,LA PALMA,0,164,0,0,0,16.5,18.5,1022.5
2021-01-16,TENERIFE,34,1237,3,95,29,16.8,19.0,1023.1
2021-01-16,FUERTEVENTURA,16,276,3,3,1,16.5,18.4,1023.2
2021-01-17,LA GOMERA,0,3,0,0,0,13.2,17.8,1000.9
2021-01-17,EL HIERRO,0,2,0,2,0,17.0,18.6,1023.5
2021-01-17,FUERTEVENTURA,9,131,3,6,0,14.8,17.3,1023.9
2021-01-17,LANZAROTE,51,742,8,24,9,13.3,16.7,1025.0
2021-01-17,LA PALMA,0,39,0,0,0,16.9,18.8,1022.6
2021-01-17,TENERIFE,32,811,5,98,27,15.3,18.0,1023.0
2021-01-17,GRAN CANARIA,81,1338,9,106,31,15.5,17.7,1022.1
2021-01-18,LA PALMA,0,132,0,0,0,16.2,17.8,1022.1
2021-01-18,GRAN CANARIA,127,2028,11,100,29,14.9,17.4,1021.7
2021-01-18,FUERTEVENTURA,17,267,1,5,0,12.5,16.0,1023.9
2021-01-18,EL HIERRO,1,58,0,2,0,15.8,17.7,1023.4
2021-01-18,LANZAROTE,116,773,10,33,9,11.7,16.0,1025.0
2021-01-18,LA GOMERA,0,43,0,0,0,13.3,16.6,1000.6
2021-01-18,TENERIFE,45,1671,11,102,27,14.0,17.2,1022.8
2021-01-19,EL HIERRO,8,32,2,4,0,14.5,17.6,1022.9
2021-01-19,LANZAROTE,88,882,1,32,9,11.9,15.8,1024.8
2021-01-19,LA PALMA,1,155,0,0,0,15.2,17.5,1021.6
2021-01-19,LA GOMERA,0,18,1,1,0,13.3,16.4,1000.6
2021-01-19,GRAN CANARIA,139,2757,15,108,27,13.65,16.799999999999997,1021.5
2021-01-19,FUERTEVENTURA,17,390,1,4,0,13.2,16.4,1023.5
2021-01-19,TENERIFE,56,2310,11,102,26,14.1,17.4,1022.4
2021-01-20,LA GOMERA,0,24,0,0,0,12.7,15.8,998.6
2021-01-20,FUERTEVENTURA,25,584,1,4,0,10.9,15.2,1021.3
2021-01-20,LA PALMA,1,130,0,0,0,15.2,17.8,1019.8
2021-01-20,GRAN CANARIA,167,2770,7,111,25,12.4,16.2,1019.4
2021-01-20,TENERIFE,58,2135,6,97,24,14.4,17.9,1020.2
2021-01-20,EL HIERRO,0,59,0,4,0,14.9,18.8,1021.3
2021-01-20,LANZAROTE,76,858,6,28,10,10.4,15.9,1022.4
2021-01-21,LANZAROTE,109,933,5,30,12,14.3,17.9,1024.3
2021-01-21,LA PALMA,0,119,0,0,0,15.9,18.9,1021.9
2021-01-21,FUERTEVENTURA,8,518,1,4,0,16.4,19.2,1023.1
2021-01-21,LA GOMERA,0,45,0,0,0,14.9,17.6,1001.0
2021-01-21,EL HIERRO,6,64,0,2,0,18.5,20.0,1023.5
2021-01-21,TENERIFE,67,1981,6,87,21,15.3,19.2,1022.1
2021-01-21,GRAN CANARIA,139,2688,16,114,26,15.7,18.8,1021.3
2021-01-22,LA PALMA,0,102,0,0,0,17.4,19.4,1022.7
2021-01-22,FUERTEVENTURA,15,381,0,2,1,16.5,18.7,1023.9
2021-01-22,LA GOMERA,0,30,0,0,0,16.3,18.8,1001.0
2021-01-22,GRAN CANARIA,118,3108,5,98,27,17.3,19.5,1021.9
2021-01-22,LANZAROTE,85,869,11,37,11,15.4,18.8,1025.3
2021-01-22,TENERIFE,82,2051,14,81,21,16.6,20.2,1022.7
2021-01-22,EL HIERRO,4,107,0,0,0,18.5,19.7,1024.0
2021-01-23,TENERIFE,64,1509,4,82,22,17.2,19.6,1022.5
2021-01-23,GRAN CANARIA,139,2497,12,100,29,16.9,19.2,1021.2
2021-01-23,LA PALMA,0,99,0,0,0,17.4,18.9,1022.2
2021-01-23,FUERTEVENTURA,10,296,1,2,1,17.2,19.0,1023.1
2021-01-23,LA GOMERA,0,19,0,0,0,15.6,17.6,1000.7
2021-01-23,EL HIERRO,2,33,0,0,0,18.1,19.6,1023.1
2021-01-23,LANZAROTE,78,708,5,36,13,14.5,18.4,1024.4
