fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-01-26,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,7","0,0","15,4",04:40,"22,0",15:30,10,"3,9","9,4",14:20,"6,2","1021,9",11,"1018,7",15,71,80,04:10,61,15:00
2021-01-27,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,8","0,0","15,9",06:30,"21,8",15:00,26,"2,8","5,6",08:40,"8,3","1019,7",00,"1016,2",16,79,91,21:20,71,13:00
2021-01-28,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,0","0,0","15,2",06:50,"24,8",13:50,28,"2,5","4,7",05:50,"10,2","1018,8",11,"1016,4",06,64,91,21:50,40,13:40
2021-01-29,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,2","0,0","15,4",05:10,"23,1",12:20,20,"1,4","5,0",10:50,"10,2","1021,1",11,"1017,8",Varias,76,94,03:20,56,11:50
2021-01-30,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,1","0,0","15,8",07:30,"22,4",13:10,31,"2,5","10,6",01:30,"10,2","1022,0",Varias,"1019,5",17,68,86,Varias,54,17:30
2021-01-31,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"21,3","0,0","17,0",08:10,"25,6",16:50,05,"1,9","7,5",11:50,"10,0","1022,0",00,"1017,2",18,55,88,Varias,35,17:10
2021-02-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,8","0,0","17,0",06:30,"22,5",16:30,09,"1,9","6,7",10:40,"10,0","1019,3",00,"1015,7",17,63,75,Varias,55,00:00
2021-02-02,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,4","0,0","15,6",08:00,"21,2",14:00,09,"2,8","5,8",11:20,"8,0","1017,6",00,"1014,2",16,75,85,22:10,62,00:00
2021-02-03,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,4",Ip,"14,8",07:30,"22,0",15:50,32,"3,1","9,7",20:50,"8,6","1015,9",00,"1011,7",24,69,81,Varias,54,15:50
2021-02-04,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"16,4","10,1","14,0",23:10,"18,9",12:00,30,"3,3","15,6",15:10,"5,0","1011,7",00,"1005,3",Varias,71,84,03:30,53,15:50
2021-02-05,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"14,5","30,8","11,8",05:10,"17,2",14:40,30,"3,1","16,7",00:10,"2,4","1013,1",24,"1004,9",06,79,86,09:50,59,00:00
2021-02-06,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"16,6","1,5","13,4",03:20,"19,8",14:00,29,"3,9","12,5",13:40,"3,4","1017,6",23,"1012,5",05,65,75,06:40,53,13:30
2021-02-07,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,4","0,0","14,9",04:50,"22,0",15:20,27,"2,2","8,3",14:20,"8,8","1019,4",11,"1016,7",17,63,74,08:20,50,13:50
2021-02-08,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,0","0,0","14,6",05:30,"21,5",14:30,28,"2,2","7,8",23:30,"9,6","1019,2",10,"1015,8",16,68,79,05:40,59,13:00
2021-02-09,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,0","0,0","15,6",Varias,"22,3",14:40,27,"2,8","8,1",07:00,"8,4","1018,3",11,"1015,7",16,61,78,23:40,53,13:30
2021-02-10,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,7","0,0","14,8",07:30,"22,6",15:20,17,"2,2","5,3",14:40,"8,2","1018,3",11,"1015,9",17,69,78,00:00,59,14:20
2021-02-11,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,6","0,0","15,8",07:30,"23,5",13:50,31,"2,8","7,8",13:10,"9,4","1019,3",23,"1016,5",05,58,76,07:50,47,Varias
2021-02-12,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,4",Ip,"17,5",06:40,"23,2",14:00,01,"2,5","7,5",12:50,"7,8","1020,2",10,"1018,3",06,60,73,03:30,49,14:10
2021-02-13,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,0","0,0","16,3",23:59,"21,7",13:00,10,"3,3","9,7",13:30,"10,0","1020,0",11,"1017,0",16,62,73,08:00,53,17:40
2021-02-14,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"17,8","0,0","14,5",07:20,"21,0",15:10,10,"3,1","8,6",10:50,"10,3","1018,5",11,"1016,3",17,66,80,22:10,56,09:10
2021-02-15,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,5","0,0","14,8",07:30,"24,2",14:40,11,"1,9","5,3",13:20,"10,3","1019,6",12,"1016,5",02,60,76,09:20,35,22:20
2021-02-16,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"20,2","0,0","16,9",23:59,"23,4",12:50,10,"3,6","8,6",09:50,"9,6","1020,5",11,"1016,8",Varias,47,62,07:30,32,05:40
2021-02-17,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"19,2","0,0","16,0",23:59,"22,5",14:00,05,"3,3","8,9",14:30,"9,6","1018,0",00,"1014,0",18,58,77,07:10,39,14:10
2021-02-18,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,2","0,0","14,9",04:20,"21,4",13:00,08,"3,3","8,9",15:30,"9,5","1016,1",Varias,"1013,4",16,51,65,22:20,38,02:50
2021-02-19,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,4","0,0","14,7",07:50,"22,2",16:00,27,"2,2","5,3",08:00,"10,4","1016,2",11,"1013,3",17,48,65,21:50,29,03:40
2021-02-20,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,36,"18,9","7,0","14,9",07:20,"22,9",16:40,32,"1,9","24,2",21:30,"5,6","1013,8",00,"1006,2",16,67,83,23:10,49,14:10
