fecha_datos,codigo_centro,fecha,unidad_funcional,cv19,nocv19
30/06/2023,380012,07/05/2022,HPT,41,647
30/06/2023,350173,22/03/2021,CCR,0,7
30/06/2023,380064,02/06/2022,HPT,0,92
30/06/2023,350332,31/08/2020,HPT,80,507
30/06/2023,350304,16/04/2020,CCR,0,0
30/06/2023,350332,23/12/2021,CCR,11,46
30/06/2023,380103,30/12/2021,CCR,0,1
30/06/2023,380012,02/02/2021,HPT,64,639
30/06/2023,350252,08/07/2022,HPT,6,103
30/06/2023,380244,07/11/2020,CCR,0,0
30/06/2023,380223,09/03/2022,CSR,0,0
30/06/2023,350228,06/01/2021,CSR,0,0
30/06/2023,380223,07/11/2022,HPT,5,162
30/06/2023,380223,04/07/2022,CCR,0,1
30/06/2023,380223,04/03/2023,CCR,0,4
30/06/2023,380316,05/05/2022,CCR,0,7
30/06/2023,380316,08/10/2021,CCR,2,4
30/06/2023,350173,02/10/2021,CSR,0,0
30/06/2023,380223,16/11/2022,CSR,0,0
30/06/2023,380103,18/12/2022,CCR,0,0
30/06/2023,380244,11/04/2021,CSR,0,0
30/06/2023,350332,11/03/2023,CCR,0,50
30/06/2023,380103,25/03/2022,CSR,0,1
30/06/2023,380103,13/11/2022,CSR,0,2
30/06/2023,350290,30/12/2022,HPT,19,544
30/06/2023,350304,09/03/2023,CSR,0,0
30/06/2023,350367,28/12/2022,CCR,1,7
30/06/2023,380282,24/06/2021,CCR,0,0
30/06/2023,350304,22/04/2020,HPT,0,23
30/06/2023,350332,13/05/2021,CSR,0,0
30/06/2023,380064,12/04/2020,CCR,0,3
30/06/2023,380326,23/01/2023,CSR,0,6
30/06/2023,380282,22/05/2021,CCR,0,0
30/06/2023,350326,20/07/2020,CSR,0,0
30/06/2023,380223,19/12/2022,CSR,0,0
30/06/2023,350206,09/05/2022,HPT,0,140
30/06/2023,350326,19/03/2022,HPT,0,4
30/06/2023,380276,11/12/2021,CSR,0,0
30/06/2023,380282,29/06/2021,CCR,0,0
30/06/2023,350154,27/03/2021,CSR,0,0
30/06/2023,380244,15/12/2021,CSR,0,0
30/06/2023,380316,17/06/2020,CCR,0,4
30/06/2023,380012,11/01/2022,HPT,221,474
30/06/2023,380012,22/08/2020,CSR,0,0
30/06/2023,350120,21/05/2023,HPT,1,88
30/06/2023,350120,23/08/2022,HPT,0,120
30/06/2023,380326,22/11/2021,CCR,2,33
30/06/2023,380276,19/12/2021,CSR,0,0
30/06/2023,350326,27/05/2023,HPT,0,10
30/06/2023,380086,09/04/2022,HPT,4,105
30/06/2023,350326,16/04/2020,HPT,0,3
30/06/2023,350326,02/07/2020,HPT,0,5
30/06/2023,380086,18/10/2022,HPT,1,120
30/06/2023,380086,19/02/2021,HPT,1,117
30/06/2023,380064,17/01/2021,HPT,0,90
30/06/2023,380146,20/12/2022,CSR,0,4
30/06/2023,350290,30/06/2022,CSR,0,0
30/06/2023,380316,02/04/2022,CCR,0,4
30/06/2023,380282,14/05/2022,CSR,0,0
30/06/2023,350252,14/05/2023,CCR,1,2
30/06/2023,380064,09/06/2020,CSR,0,0
30/06/2023,350173,02/02/2023,CCR,0,4
30/06/2023,350120,19/12/2021,CSR,0,0
30/06/2023,380244,11/07/2022,CCR,0,0
30/06/2023,380282,13/07/2021,CSR,0,0
30/06/2023,380012,11/02/2022,HPT,168,482
30/06/2023,350173,20/08/2020,HPT,2,58
30/06/2023,380276,11/05/2022,CCR,0,0
30/06/2023,380326,31/07/2022,CCR,8,31
30/06/2023,350367,25/05/2020,CSR,0,6
30/06/2023,350228,27/04/2023,CCR,0,3
30/06/2023,350206,20/06/2023,CCR,0,4
30/06/2023,350367,16/02/2021,CCR,1,2
30/06/2023,380012,01/07/2022,CCR,4,27
30/06/2023,380223,19/05/2023,CCR,0,1
30/06/2023,380276,06/09/2020,HPT,0,18
30/06/2023,380282,08/11/2021,HPT,0,25
30/06/2023,380064,07/04/2022,CSR,0,0
30/06/2023,380244,14/05/2021,HPT,0,15
30/06/2023,350252,26/04/2022,CCR,0,2
30/06/2023,380223,12/08/2020,CSR,0,0
30/06/2023,350367,31/01/2022,CSR,0,0
30/06/2023,380276,08/10/2021,CCR,0,0
30/06/2023,350290,31/08/2021,HPT,65,524
30/06/2023,380146,11/03/2021,CSR,0,2
30/06/2023,380086,15/08/2022,CCR,0,0
30/06/2023,350252,31/03/2023,CSR,0,0
30/06/2023,350206,14/11/2022,HPT,0,134
30/06/2023,350120,29/05/2020,CCR,0,0
30/06/2023,350120,21/07/2020,CSR,0,5
30/06/2023,380146,18/06/2021,CSR,0,2
30/06/2023,380012,20/05/2021,CCR,10,30
30/06/2023,380103,10/04/2023,HPT,0,59
30/06/2023,350120,23/05/2022,HPT,1,116
30/06/2023,380146,20/03/2023,CSR,0,4
30/06/2023,380244,04/03/2021,CSR,0,0
30/06/2023,350252,16/09/2020,HPT,8,71
30/06/2023,380295,18/02/2023,HPT,0,40
30/06/2023,380223,24/05/2023,HPT,0,152
30/06/2023,380086,24/06/2023,CSR,1,0
30/06/2023,380146,26/10/2021,HPT,8,80
30/06/2023,350304,23/02/2021,HPT,0,41
30/06/2023,350206,07/02/2021,CCR,0,2
30/06/2023,350206,06/02/2022,CSR,0,0
30/06/2023,350304,01/01/2022,CCR,0,6
30/06/2023,350304,23/08/2020,CSR,0,0
30/06/2023,380146,25/05/2021,HPT,2,80
30/06/2023,380244,18/11/2020,CCR,0,0
30/06/2023,380326,20/06/2023,HPT,13,506
30/06/2023,380223,10/05/2021,CCR,0,4
30/06/2023,350120,08/06/2022,HPT,0,114
30/06/2023,350154,15/11/2020,CSR,0,0
30/06/2023,380244,12/02/2021,CSR,0,0
30/06/2023,380086,07/07/2022,CCR,0,0
30/06/2023,350290,21/08/2020,CCR,3,20
30/06/2023,380064,05/11/2022,HPT,0,67
30/06/2023,350173,18/04/2020,HPT,0,64
30/06/2023,380086,24/12/2020,HPT,1,100
30/06/2023,350252,13/08/2020,CSR,0,0
30/06/2023,350367,07/01/2023,CSR,0,0
30/06/2023,350290,14/06/2023,HPT,1,646
30/06/2023,380316,27/01/2023,CCR,0,4
30/06/2023,380103,05/12/2021,CCR,0,2
30/06/2023,380276,21/06/2022,HPT,0,11
30/06/2023,380295,02/12/2021,CCR,0,2
30/06/2023,350120,24/10/2021,HPT,4,95
30/06/2023,380146,24/08/2020,CCR,0,3
30/06/2023,380223,04/09/2020,CSR,0,0
30/06/2023,380103,02/11/2020,HPT,2,61
30/06/2023,380282,22/12/2021,HPT,0,16
30/06/2023,350326,16/06/2020,CCR,0,0
30/06/2023,350290,08/08/2021,CCR,25,13
30/06/2023,380316,02/10/2020,CSR,0,0
30/06/2023,350332,14/09/2021,CCR,7,51
30/06/2023,380326,27/09/2020,CSR,0,6
30/06/2023,350326,18/02/2022,CCR,0,0
30/06/2023,380012,13/05/2021,CCR,13,29
30/06/2023,350173,01/07/2020,HPT,0,92
30/06/2023,350120,09/07/2020,CSR,0,2
30/06/2023,350326,16/10/2021,CCR,0,0
30/06/2023,380295,26/05/2023,HPT,0,36
30/06/2023,350173,03/07/2022,HPT,0,75
30/06/2023,350173,29/11/2021,CSR,0,10
30/06/2023,350332,18/03/2023,HPT,6,620
30/06/2023,350332,10/11/2021,HPT,12,603
30/06/2023,380012,01/11/2020,CSR,0,0
30/06/2023,350304,15/11/2020,CSR,0,0
30/06/2023,380223,06/12/2020,CCR,0,0
30/06/2023,380282,16/08/2021,CCR,0,0
30/06/2023,350332,12/08/2021,CCR,14,42
30/06/2023,380244,27/06/2020,CCR,0,0
30/06/2023,350304,30/09/2021,CCR,0,2
30/06/2023,350120,30/07/2020,HPT,1,96
30/06/2023,380223,03/09/2021,HPT,0,144
30/06/2023,350173,11/01/2022,CCR,0,6
30/06/2023,380276,26/06/2020,CSR,0,0
30/06/2023,350228,23/05/2022,CCR,0,3
30/06/2023,380103,01/11/2020,HPT,2,50
30/06/2023,380103,09/09/2020,CSR,0,1
30/06/2023,350206,16/05/2021,CSR,0,0
30/06/2023,350173,22/06/2022,CCR,0,4
30/06/2023,380086,26/05/2023,HPT,4,80
30/06/2023,380103,17/04/2021,CSR,0,0
30/06/2023,380244,18/12/2021,HPT,2,16
30/06/2023,350290,19/02/2021,HPT,28,530
30/06/2023,380086,17/05/2021,CCR,0,0
30/06/2023,380146,12/09/2022,CCR,0,1
30/06/2023,380223,26/02/2022,HPT,0,141
30/06/2023,380064,27/09/2022,CCR,0,2
30/06/2023,350228,05/02/2021,CSR,0,0
30/06/2023,350332,09/08/2022,CSR,0,0
30/06/2023,380295,06/03/2021,HPT,0,37
30/06/2023,350367,16/01/2023,CCR,0,6
30/06/2023,350252,17/05/2023,CSR,0,0
30/06/2023,380103,03/01/2023,CCR,0,0
30/06/2023,380282,15/02/2021,CSR,0,0
30/06/2023,380103,24/10/2022,CCR,0,1
30/06/2023,380282,14/11/2020,HPT,0,6
30/06/2023,380316,27/04/2022,CSR,0,0
30/06/2023,350228,26/03/2020,HPT,13,103
30/06/2023,380295,02/06/2023,CSR,0,2
30/06/2023,350228,19/07/2020,CCR,0,3
30/06/2023,380316,30/08/2022,HPT,2,140
30/06/2023,350326,10/01/2021,CCR,0,0
30/06/2023,380244,27/11/2020,HPT,0,15
30/06/2023,350326,16/05/2022,CSR,0,2
30/06/2023,350206,20/06/2023,HPT,0,126
30/06/2023,380012,26/10/2020,HPT,60,616
30/06/2023,350154,31/05/2021,CSR,0,0
30/06/2023,350304,23/03/2020,HPT,1,32
30/06/2023,380326,17/06/2021,HPT,11,531
30/06/2023,380244,19/12/2020,CSR,0,0
30/06/2023,350332,10/03/2021,CCR,23,32
30/06/2023,380012,09/06/2023,CSR,0,0
30/06/2023,350252,16/10/2020,CCR,3,1
30/06/2023,350367,01/03/2022,HPT,4,113
30/06/2023,350367,08/11/2022,HPT,0,128
30/06/2023,380223,10/05/2022,HPT,3,172
30/06/2023,350206,27/06/2020,CCR,0,3
30/06/2023,350252,04/05/2023,CSR,0,0
30/06/2023,350120,25/12/2021,HPT,5,95
30/06/2023,380295,26/12/2022,CCR,0,0
30/06/2023,350206,21/07/2021,CSR,0,0
30/06/2023,380012,26/07/2021,CSR,0,0
30/06/2023,380086,28/04/2023,CSR,0,0
30/06/2023,380064,13/06/2022,CSR,0,0
30/06/2023,380276,17/06/2022,CSR,0,0
30/06/2023,350304,05/04/2022,CSR,0,0
30/06/2023,380103,04/11/2021,CCR,0,0
30/06/2023,350154,08/01/2021,CSR,0,0
30/06/2023,350304,18/05/2021,HPT,0,41
30/06/2023,380276,14/05/2022,CSR,0,0
30/06/2023,380282,27/06/2020,HPT,0,9
30/06/2023,380103,03/12/2021,CCR,0,1
30/06/2023,350206,28/02/2023,CSR,0,0
30/06/2023,380282,06/01/2023,CSR,0,0
30/06/2023,380146,27/05/2023,CSR,0,4
30/06/2023,350332,21/02/2022,CCR,22,38
30/06/2023,350120,15/03/2021,CCR,0,0
30/06/2023,350120,11/02/2022,CCR,0,0
30/06/2023,350252,25/06/2021,CSR,0,0
30/06/2023,350332,23/02/2023,CSR,0,0
30/06/2023,380012,26/04/2022,HPT,59,669
30/06/2023,350290,29/10/2021,CCR,4,29
30/06/2023,380086,03/11/2020,CCR,1,1
30/06/2023,350252,12/07/2022,HPT,6,102
30/06/2023,380146,20/11/2022,CCR,0,6
30/06/2023,380012,17/07/2021,HPT,156,561
30/06/2023,380223,09/03/2021,HPT,3,163
30/06/2023,350332,14/03/2022,CCR,13,45
30/06/2023,350120,10/02/2021,CSR,0,3
30/06/2023,380086,27/08/2022,HPT,0,80
30/06/2023,380146,17/05/2020,CCR,0,2
30/06/2023,380223,31/05/2020,CSR,0,0
30/06/2023,380103,19/11/2020,CCR,0,0
30/06/2023,380244,07/04/2023,CSR,0,0
30/06/2023,350304,08/04/2023,CCR,1,12
30/06/2023,380316,07/05/2023,CCR,1,6
30/06/2023,380244,24/03/2021,HPT,0,22
30/06/2023,350228,08/05/2021,CCR,3,0
30/06/2023,350332,26/10/2020,CSR,0,0
30/06/2023,350367,09/04/2021,CSR,0,1
30/06/2023,380103,26/06/2022,CCR,0,1
30/06/2023,380012,16/05/2021,HPT,55,637
30/06/2023,380146,06/12/2022,CSR,0,4
30/06/2023,380223,02/11/2022,CCR,0,3
30/06/2023,350326,18/12/2021,CSR,0,2
30/06/2023,350326,03/02/2023,HPT,1,16
30/06/2023,380316,17/01/2021,CSR,0,0
30/06/2023,380326,29/07/2020,CSR,0,4
30/06/2023,380064,16/01/2023,HPT,1,91
30/06/2023,380223,04/05/2020,CSR,0,0
30/06/2023,350252,24/02/2022,CSR,0,0
30/06/2023,380086,15/10/2021,HPT,0,115
30/06/2023,380326,14/09/2022,HPT,9,527
30/06/2023,350154,01/09/2021,HPT,0,73
30/06/2023,380326,29/12/2021,HPT,81,418
30/06/2023,380282,06/03/2023,CSR,0,0
30/06/2023,380103,23/05/2021,CCR,0,0
30/06/2023,380223,27/05/2021,HPT,0,142
30/06/2023,380064,23/09/2022,HPT,0,82
30/06/2023,380146,15/02/2023,CSR,0,3
30/06/2023,380276,12/08/2021,HPT,0,9
30/06/2023,380146,14/07/2021,CCR,0,2
30/06/2023,380276,21/07/2020,CSR,0,0
30/06/2023,350173,16/02/2021,CCR,0,6
30/06/2023,380244,31/05/2023,CSR,0,0
30/06/2023,380064,15/12/2022,HPT,0,99
30/06/2023,380146,07/02/2022,CCR,0,6
30/06/2023,380012,08/12/2021,HPT,68,627
30/06/2023,380276,28/09/2020,CSR,0,0
30/06/2023,350120,05/09/2022,CCR,0,1
30/06/2023,350154,30/09/2020,CCR,0,0
30/06/2023,380276,07/04/2020,CSR,0,0
30/06/2023,380316,18/04/2020,HPT,5,88
30/06/2023,380223,05/10/2020,CSR,0,0
30/06/2023,350173,13/05/2022,HPT,0,100
30/06/2023,350304,25/11/2020,CCR,0,1
30/06/2023,350206,16/03/2021,CSR,0,0
30/06/2023,380223,09/07/2021,CCR,0,4
30/06/2023,380012,08/12/2020,HPT,67,620
30/06/2023,350173,18/09/2021,CSR,0,0
30/06/2023,350290,14/11/2022,CSR,0,0
30/06/2023,350252,04/10/2022,HPT,3,105
30/06/2023,350290,08/05/2020,CSR,0,0
30/06/2023,380012,13/09/2021,HPT,79,578
30/06/2023,350326,07/04/2021,HPT,0,5
30/06/2023,350367,27/06/2021,HPT,1,123
30/06/2023,380012,29/10/2022,CCR,3,27
30/06/2023,350252,13/07/2022,CSR,0,0
30/06/2023,380326,18/05/2023,CCR,1,39
30/06/2023,380012,21/06/2023,CCR,1,34
30/06/2023,350206,03/10/2022,HPT,0,140
30/06/2023,350252,18/12/2020,CSR,0,0
30/06/2023,350290,08/02/2021,HPT,52,532
30/06/2023,350206,14/01/2023,CCR,0,1
30/06/2023,380223,24/12/2021,CSR,0,0
